SIC,Unit_Process,Temp_F,Heat_type,E_Btu,Temp_C
20111,Boiler,250,fuel,2184,121.1111111
,Boiler,250,steam,895.5,121.1111111
,Boiler,140,water,255,60
,Boiler,250,clean up,383.3,121.1111111
,Boiler,250,space heat,46,121.1111111
,Drying,200,steam,73,93.33333333
,Scalding,80,steam,83.4,26.66666667
,Singeing,85,fuel,44.8,29.44444444
,Rendering,200,steam,127.8,93.33333333
,Rendering,200,steam,511,93.33333333
,Processing,75,steam,31.3,23.88888889
,Processing,75,fuel,134.4,23.88888889
20261,Pasturization,163,steam,73,72.77777778
,Deoderization,38,steam,20,28.33333333
,Packaging,38,fuel,12,28.33333333
,Pasturization,163,steam,1.5,72.77777778
,Cooking,212,steam,33,100
,Drying,180,fuel,3,82.22222222
,Boiler,250,fuel,555,121.1111111
,Boiler,250,space heat,28.7,121.1111111
,Boiler,250,clean up,138.8,121.1111111
20331,Washing,80,water,6500,26.66666667
,Peeling,120,steam,2500,48.88888889
,Washing,120,water,6500,48.88888889
,Cooking,212,steam,4000,100
,Heating,200,steam,3000,93.33333333
,Exhausting,195,steam,2000,90.55555556
,Sealing,175,steam,1000,79.44444444
,Retort,240,steam,4000,115.5555556
,Boiler,250,fuel,60525.1,121.1111111
,Boiler,250,steam,16500,121.1111111
,Boiler,140,water,14300,60
,Boiler,250,clean up,9200,121.1111111
,Boiler,250,space heat,8200,121.1111111
,Washing,140,water,1300,60
20332,Washing,130,water,6500,54.44444444
,Scalding,160,steam,6000,71.11111111
,Cooking,212,steam,6000,100
,Heating,200,steam,3000,93.33333333
,Exhausting,200,steam,3000,93.33333333
,Sealing,190,steam,1000,87.77777778
,Retort,250,steam,6500,121.1111111
,Boiler,300,fuel,65000,148.8888889
,Boiler,300,steam,6500,148.8888889
,Boiler,250,steam,19000,121.1111111
,Boiler,250,space heat,8900,121.1111111
,Boiler,140,water,7800,60
,Boiler,250,clean up,10000,121.1111111
,Washing,75,water,1300,23.88888889
20333,Washing,85,water,6500,29.44444444
,Heating,195,steam,4000,90.55555556
,Sealing,190,steam,1000,87.77777778
,Retort,212,steam,3000,100
,Washing,75,water,6500,23.88888889
,Boiler,250,fuel,42330,121.1111111
,Boiler,250,steam,8000,121.1111111
,Boiler,140,water,,60
,Boiler,250,clean up,6300,121.1111111
20461,Steeping,125,steam,95,51.66666667
,Drying,200,steam,175,93.33333333
,Extracting,200,steam,75,93.33333333
,Separating,150,steam,50,65.55555556
,Drying,250,fuel,350,121.1111111
,Drying,130,steam,250,54.44444444
,Roasting,200,fuel,100,93.33333333
,Converting,190,steam,100,87.77777778
,Refining,200,steam,125,93.33333333
,Evaporating,240,steam,125,115.5555556
,Refining,240,steam,75,115.5555556
,Evaporating,250,steam,100,121.1111111
,Drying,120,fuel,15,48.88888889
,Boiler,250,fuel,2853,121.1111111
,Boiler,250,steam,1420,121.1111111
,Boiler,200,clean up,686.5,93.33333333
,Boiler,250,space heat,125,121.1111111
20511,Fermenting,250,steam,9200,121.1111111
,Proofing,100,steam,2000,37.77777778
,Proofing,100,steam,2500,37.77777778
,Baking,450,steam,3800,232.2222222
,Baking,450,fuel,43200,232.2222222
,Boiler,250,fuel,45600,121.1111111
,Boiler,250,steam,16400,121.1111111
,Boiler,250,space heat,9120,121.1111111
,Boiler,250,clean up,5000,121.1111111
,Boiler,185,water,2752,85
20512,Baking,212,fuel,16436,100
,Baking,212,fuel,17270,100
,Frying,212,fuel,6425,100
,Boiler,250,fuel,53006,121.1111111
,Boiler,250,clean up,14000,121.1111111
,Boiler,250,space heat,8130,121.1111111
,Boiler,180,water,6069,82.22222222
,Boiler,250,steam,5500,121.1111111
20621,Clarifying,185,steam,3500,85
,Regenerating,930,fuel,25000,498.8888889
,Evaporating,130,steam,30000,54.44444444
,Other,140,steam,79999.9,60
,Drying,180,steam,3532,82.22222222
,Boiler,300,fuel,231699.9,148.8888889
,Boiler,300,steam,30000,148.8888889
,Boiler,250,steam,87031.9,121.1111111
,Boiler,195,water,11400,90.55555556
,Boiler,165,water,45450,73.88888889
,Boiler,145,water,7500,62.77777778
,Boiler,250,space heat,4500,121.1111111
20631,Diffusing,160,steam,32,71.11111111
,Diffusing,160,water,58,71.11111111
,Drying,200,fuel,320,93.33333333
,Heating,185,steam,60,85
,Calcining,600,fuel,58,315.5555556
,Heating,200,steam,100,93.33333333
,Evaporating,200,steam,390,93.33333333
,Other,180,steam,100,82.22222222
,Drying,150,steam,5,65.55555556
,Boiler,250,fuel,1011,121.1111111
,Boiler,250,steam,587,121.1111111
,Boiler,280,steam,100,137.7777778
,Boiler,250,space heat,31,121.1111111
,Boiler,140,water,58,60
20751,Drying,100,fuel,800,37.77777778
,Other,160,steam,556,71.11111111
,Other,215,steam,834,101.6666667
,Drying,200,steam,800,93.33333333
,Evaporating,125,steam,222,51.66666667
,Stripping,350,steam,62,176.6666667
,Boiler,350,fuel,3850,176.6666667
,Boiler,350,steam,2474,176.6666667
,Boiler,140,clean up,290,60
,Boiler,350,space heat,276,176.6666667
20821,Cooking,212,steam,38.7,100
,Other,212,water,25.9,100
,Other,212,steam,45,100
,Drying,212,fuel,300,100
,Brewing,212,steam,70,100
,Cleaning,125,water,92,51.66666667
,Pasturization,145,water,262.5,62.77777778
,Boiler,250,fuel,901,121.1111111
,Boiler,250,space heat,66.5,121.1111111
,Boiler,185,water,429.4,85
,Boiler,250,steam,153.7,121.1111111
,Boiler,250,clean up,61.4,121.1111111
22211,Drying,240,steam,3600,115.5555556
,Singeing,400,fuel,725,204.4444444
,Desizing,200,steam,125,93.33333333
,Scouring,212,steam,600,100
,Washing,190,steam,100,87.77777778
,Washing,200,steam,750,93.33333333
,Drying,250,steam,700,121.1111111
,Washing,140,steam,1200,60
,Printing,180,steam,175,82.22222222
,Drying,250,fuel,1400,121.1111111
,Steaming,200,steam,450,93.33333333
,Washing,180,steam,450,82.22222222
,Drying,180,fuel,900,82.22222222
,Boiler,250,fuel,11050,121.1111111
,Boiler,300,steam,7750,148.8888889
,Cogen,95,water,60,35
,Cogen,95,fuel,150,35
22621,Singeing,500,fuel,2000,260
,Other,200,steam,300,93.33333333
,Other,212,steam,1200,100
,Washing,190,steam,750,87.77777778
,Washing,200,steam,1700,93.33333333
,Drying,250,steam,1500,121.1111111
,Washing,160,steam,2600,71.11111111
,Printing,110,steam,300,43.33333333
,Drying,250,fuel,3200,121.1111111
,Steaming,200,steam,850,93.33333333
,Washing,180,steam,300,82.22222222
,Drying,180,fuel,2000,82.22222222
,Boiler,250,fuel,13000,121.1111111
,Boiler,250,steam,9500,121.1111111
,Cogen,95,fuel,450,35
,Cogen,95,water,190,35
24991,Digesting,370,steam,2300,187.7777778
,Drying,380,steam,4070,193.3333333
,Pressing,375,steam,1260,190.5555556
,Drying,350,fuel,500,176.6666667
,Boiler,420,fuel,9600,215.5555556
,Boiler,420,steam,7900,215.5555556
26111,Digesting,340,steam,2115,171.1111111
,Evaporating,230,steam,2256,110
,Calcining,1200,fuel,1050,648.8888889
,Bleaching,85,steam,2500,29.44444444
,Drying,150,steam,3000,65.55555556
,Boiler,300,fuel,3575,148.8888889
,Boiler,300,steam,3300,148.8888889
26112,Digesting,340,steam,1015,171.1111111
,Bleaching,85,steam,850,29.44444444
,Drying,240,steam,3000,115.5555556
,Evaporating,150,steam,750,65.55555556
,Burner,500,fuel,100,260
,Boiler,300,fuel,4400,148.8888889
,Boiler,300,steam,3515,148.8888889
26113,Drying,100,steam,3000,37.77777778
,Boiler,260,fuel,3875,126.6666667
,Boiler,260,steam,3200,126.6666667
26211,Pulping,140,steam,200,60
,Drying,150,steam,3500,65.55555556
,Boiler,250,fuel,4900,121.1111111
,Boiler,250,steam,4000,121.1111111
26212,Digesting,340,steam,1905,171.1111111
,Evaporating,230,steam,2030,110
,Calcining,1200,fuel,945,648.8888889
,Bleaching,85,steam,2250,29.44444444
,Drying,150,steam,3500,65.55555556
,Boiler,300,fuel,4600,148.8888889
,Boiler,300,steam,3685,148.8888889
26311,Pulping,140,steam,220,60
,Drying,150,steam,3500,65.55555556
,Boiler,300,fuel,5125,148.8888889
,Boiler,300,steam,4020,148.8888889
26312,Digesting,340,steam,2030,171.1111111
,Evaporating,230,steam,2165,110
,Calcining,1200,fuel,744,648.8888889
,Drying,150,steam,3500,65.55555556
,Boiler,300,fuel,1730,148.8888889
,Boiler,300,steam,1300,148.8888889
28121,Heating,160,steam,750,71.11111111
,Heating,160,steam,450,71.11111111
,Cooling,95,steam,125,35
,Evaporating,250,steam,3500,121.1111111
,Evaporating,220,steam,1000,104.4444444
,Boiler,350,fuel,4000,176.6666667
,Boiler,350,steam,5825,176.6666667
28122,Heating,125,steam,1000,51.66666667
,Evaporating,250,steam,700,121.1111111
,Boiler,250,fuel,2090,121.1111111
,Boiler,250,steam,1700,121.1111111
28123,Calcining,1800,fuel,1410,982.2222222
,Other,250,steam,350,121.1111111
,Calcining,650,fuel,1800,343.3333333
,Boiler,250,fuel,470,121.1111111
,Boiler,250,steam,350,121.1111111
28124,Crystallizing,230,steam,2970,110
,Calcining,650,fuel,300,343.3333333
,Boiler,250,fuel,3690,121.1111111
,Boiler,250,steam,2970,121.1111111
28132,Reforming,1550,fuel,51465.2,843.3333333
,Cooling,800,steam,27112.5,426.6666667
,Boiler,316,fuel,77096.9,157.7777778
,Boiler,316,steam,57823.5,157.7777778
281331,Preheating,1200,fuel,4200,648.8888889
,Preheating,1200,fuel,3530,648.8888889
,Cracking,2800,fuel,24300,1537.777778
,Stripping,130,steam,825,54.44444444
,Stripping,240,steam,4125,115.5555556
,Boiler,250,fuel,5970,121.1111111
,Boiler,250,steam,4950,121.1111111
28191,Digesting,295,steam,3500,146.1111111
,Evaporating,126,steam,3000,52.22222222
,Calcining,2200,fuel,2050,1204.444444
,Boiler,300,fuel,9286,148.8888889
,Boiler,300,steam,6500,148.8888889
,Boiler,250,space heat,450,121.1111111
28192,Burning,2000,electric,5000,1093.333333
,Converting,800,electric,3000,426.6666667
,Converting,1000,electric,3000,537.7777778
,Cooling,100,electric,5000,37.77777778
,Drying,100,electric,4500,37.77777778
28193,Calcining,1500,fuel,375,815.5555556
,Calcining,1500,electric,242,815.5555556
,Heating,1000,electric,21350,537.7777778
28194,Leaching,180,steam,651.5,82.22222222
,Leaching,180,fuel,32,82.22222222
,Drying,200,fuel,300,93.33333333
,Drying,200,fuel,250,93.33333333
,Boiler,250,fuel,1100,121.1111111
,Boiler,250,steam,751.5,121.1111111
,Boiler,250,space heat,100,121.1111111
28211,Heating,250,steam,261.9,121.1111111
,Distilling,95,steam,4.1,35
,Drying,300,steam,299,148.8888889
,Melting,350,steam,147.1,176.6666667
,Drying,250,steam,59.8,121.1111111
,Boiler,300,fuel,1269,148.8888889
,Boiler,250,steam,382.4,121.1111111
,Boiler,295,steam,147.1,146.1111111
,Boiler,370,steam,358.8,187.7777778
28212,Condensing,90,steam,17.5,32.22222222
,Blending,180,steam,58.2,82.22222222
,Melting,500,steam,180.2,260
,Drying,120,steam,59.8,48.88888889
,Heating,450,fuel,756,232.2222222
,Boiler,525,fuel,411.9,273.8888889
,Boiler,250,steam,75.7,121.1111111
,Boiler,525,steam,180.2,273.8888889
,Boiler,370,steam,59.8,187.7777778
28213,Reacting,525,steam,360.8,273.8888889
,Separating,500,steam,240.7,260
,Extruding,400,steam,176.6,204.4444444
,Drying,120,steam,59.8,48.88888889
,Extruding,280,steam,176.6,137.7777778
,Drying,120,steam,59.8,48.88888889
,Boiler,490,fuel,1534,254.4444444
,Boiler,420,steam,360.8,215.5555556
,Boiler,490,steam,240.7,254.4444444
,Boiler,370,steam,119.6,187.7777778
,Boiler,295,steam,353.2,146.1111111
28214,Reacting,185,steam,295,85
,Stripping,212,steam,410.2,100
,Distilling,176,steam,58.6,80
,Drying,265,electric,75.7,129.4444444
,Extruding,500,steam,175.8,260
,Drying,120,steam,59.8,48.88888889
,Boiler,370,fuel,1893.4,187.7777778
,Boiler,370,steam,358.5,187.7777778
,Boiler,295,steam,966.9,146.1111111
28215,Separating,400,steam,962.4,204.4444444
,Separating,400,steam,180.4,204.4444444
,Extruding,500,steam,175.8,260
,Drying,120,steam,59.8,48.88888889
,Boiler,420,fuel,1969.1,215.5555556
,Boiler,370,steam,59.8,187.7777778
,Boiler,420,steam,1142.8,215.5555556
,Boiler,290,steam,175.8,143.3333333
28221,Other,250,fuel,377.6,121.1111111
,Stripping,150,steam,121,65.55555556
,Separating,120,steam,30.3,48.88888889
,Reacting,122,steam,472.5,50
,Stripping,150,steam,605,65.55555556
,Concentrating,140,steam,242,60
,Drying,150,steam,525,65.55555556
,Boiler,250,fuel,3096.2,121.1111111
,Boiler,250,steam,2049.3,121.1111111
28222,Flashing,150,water,1339,65.55555556
,Drying,180,fuel,3728.3,82.22222222
,Distilling,175,steam,150,79.44444444
,Distilling,150,steam,100,65.55555556
,Drying,180,fuel,11084.8,82.22222222
,Extruding,180,steam,388.2,82.22222222
,Boiler,250,fuel,2500,121.1111111
,Boiler,250,steam,388.2,121.1111111
,Boiler,180,water,1339,82.22222222
28223,Heating,90,steam,478.1,32.22222222
,Heating,180,steam,1105.9,82.22222222
,Drying,180,fuel,14428,82.22222222
,Boiler,250,fuel,2264,121.1111111
,Boiler,250,steam,1584,121.1111111
28231,Evaporating,200,steam,13154,93.33333333
,Melting,160,steam,5238.4,71.11111111
,Evaporating,200,steam,7869.3,93.33333333
,Drying,120,fuel,2575.2,48.88888889
,Washing,150,water,984,65.55555556
,Boiler,250,fuel,46892,121.1111111
,Boiler,250,steam,32824,121.1111111
,Boiler,200,water,984,93.33333333
28241,Heating,250,steam,2677.4,121.1111111
,Drying,120,fuel,871.8,48.88888889
,Heating,465,fuel,2179.5,240.5555556
,Melting,320,fuel,1307.7,160
,Polymerizing,450,fuel,2397.6,232.2222222
,Melting,450,fuel,1525.6,232.2222222
,Drying,150,fuel,871.8,65.55555556
,Boiler,270,fuel,5848.5,132.2222222
,Boiler,270,steam,4093.9,132.2222222
28242,Drying,180,fuel,1756,82.22222222
,Melting,75,steam,4787.2,23.88888889
,Heating,540,fuel,7024,282.2222222
,Boiler,260,fuel,9766,126.6666667
,Boiler,260,steam,6836,126.6666667
28243,Heating,120,fuel,500,48.88888889
,Heating,180,water,2060,82.22222222
,Drying,200,fuel,8970.7,93.33333333
,Boiler,180,fuel,5064.1,82.22222222
,Boiler,180,water,3059.1,82.22222222
28244,Heating,450,steam,2400,232.2222222
,Evaporating,450,steam,1920,232.2222222
,Heating,550,steam,960,287.7777778
,Boiler,600,fuel,11117,315.5555556
,Boiler,600,steam,6336,315.5555556
,Boiler,250,space heat,334,121.1111111
28245,Melting,180,steam,175,82.22222222
,Heating,500,steam,997,260
,Concentrating,180,steam,4020,82.22222222
,Distilling,180,steam,95,82.22222222
,Drying,325,fuel,526,162.7777778
,Melting,425,steam,323,218.3333333
,Boiler,550,fuel,9987,287.7777778
,Boiler,250,steam,4644,121.1111111
,Boiler,550,steam,1348,287.7777778
,Boiler,250,space heat,500,121.1111111
28341,Drying,250,fuel,335.3,121.1111111
,Heating,250,steam,51.1,121.1111111
,Sterilizing,230,steam,152.2,110
,Sterilizing,230,steam,152.2,110
,Sterilizing,230,steam,101,110
,Boiler,250,fuel,581.5,121.1111111
,Boiler,250,steam,456.6,121.1111111
28651,Distilling,298,steam,510,147.7777778
,Drying,100,steam,350,37.77777778
,Distilling,375,steam,650,190.5555556
,Heating,320,steam,710,160
,Heating,1175,steam,9456.6,635
,Heating,1200,fuel,2150,648.8888889
,Heating,750,steam,6595,398.8888889
,Heating,200,steam,450,93.33333333
,Heating,280,steam,140,137.7777778
,Distilling,200,steam,750,93.33333333
,Boiler,,fuel,14360,-17.77777778
,Boiler,230,steam,2650,110
,Boiler,300,steam,140,148.8888889
,Boiler,320,steam,835,160
,Boiler,350,steam,7655,176.6666667
,Boiler,400,steam,650,204.4444444
28691,Heating,1600,fuel,8650,871.1111111
,Heating,140,steam,253,60
,Separating,275,steam,675,135
,Boiler,,fuel,1415,-17.77777778
,Boiler,300,steam,1183,148.8888889
,Heating,350,steam,508,176.6666667
28692,Heating,250,steam,400,121.1111111
,Reforming,1450,fuel,5200,787.7777778
,Distilling,180,steam,175,82.22222222
,Distilling,200,steam,1170,93.33333333
2873,Reforming,1500,fuel,4900,815.5555556
,Reforming,1500,steam,2397,815.5555556
,Heating,425,fuel,175,218.3333333
28744,Drying,195,fuel,499999.9,90.55555556
28743,Drying,180,fuel,150,82.22222222
,Drying,180,fuel,350,82.22222222
28742,Sintering,2300,fuel,8036,1260
30691,Molding,250,fuel,651.5,121.1111111
,Other,300,fuel,651.5,148.8888889
,Casting,300,fuel,651.5,148.8888889
,Heating,350,steam,314,176.6666667
,Heating,375,steam,314,190.5555556
,Boiler,470,fuel,897,243.3333333
,Boiler,470,steam,628,243.3333333
32111,Melting,2900,fuel,4400,1593.333333
,Refining,1500,fuel,185,815.5555556
,Annealing,1100,fuel,200,593.3333333
,Heating,1600,fuel,640,871.1111111
,Heating,1100,fuel,95,593.3333333
,Heating,300,fuel,45,148.8888889
32211,Melting,2800,fuel,4400,1537.777778
,Refining,2300,fuel,185,1260
,Heating,1740,fuel,450,948.8888889
,Annealing,1200,fuel,600,648.8888889
32291,Melting,2900,fuel,4400,1593.333333
,Refining,1500,fuel,185,815.5555556
,Heating,1500,fuel,610,815.5555556
,Annealing,1100,fuel,685,593.3333333
,Drying,280,fuel,165,137.7777778
32411,Calcining,2700,fuel,1650.2,1482.222222
,Drying,325,fuel,270,162.7777778
,Calcining,2700,fuel,1050,1482.222222
32511,Drying,600,fuel,29,315.5555556
,Heating,2100,fuel,2300,1148.888889
32741,Calcining,2650,fuel,2800,1454.444444
32751,Calcining,340,fuel,475,171.1111111
,Drying,440,fuel,750,226.6666667
32961,Melting,2900,fuel,4400,1593.333333
,Heating,200,steam,1870,93.33333333
,Curing,500,fuel,2010,260
,Boiler,320,fuel,2495,160
,Boiler,320,steam,1870,160
33121,Coking,2600,fuel,888.1,1426.666667
,Coking,350,steam,150,176.6666667
,Sintering,2500,fuel,380.1,1371.111111
,Pelletizing,2400,fuel,222.3,1315.555556
,Melting,2600,fuel,325,1426.666667
,Melting,1600,fuel,860,871.1111111
,Heating,2400,fuel,750,1315.555556
,Annealing,1400,fuel,320,760
,Annealing,320,steam,125,160
,Heating,2400,fuel,500,1315.555556
,Heating,2400,fuel,435,1315.555556
,Boiler,800,fuel,670,426.6666667
33131,Drying,400,fuel,340,204.4444444
,Heating,1500,fuel,1300,815.5555556
33211,Melting,2900,fuel,2530,1593.333333
,Baking,420,fuel,650,215.5555556
,Drying,550,fuel,1950,287.7777778
,Heating,1000,fuel,210,537.7777778
,Other,300,fuel,3000,148.8888889
33311,Melting,2200,fuel,11750,1204.444444
,Baking,2200,fuel,1750,1204.444444
,Refining,140,steam,150,60
,Melting,2200,fuel,1500,1204.444444
33341,Baking,2200,fuel,1300,1204.444444
33411,Drying,1000,fuel,450,537.7777778
,Melting,1000,fuel,192.5,537.7777778
,Smelting,1460,fuel,870,793.3333333
,Heating,500,fuel,75,260
33412,Melting,600,fuel,50,315.5555556
,Melting,1300,fuel,15.5,704.4444444
,Melting,1500,fuel,125,815.5555556
,Melting,2100,fuel,182,1148.888889
,Heating,400,fuel,75.5,204.4444444
33413,Melting,1000,fuel,142.5,537.7777778
,Melting,1000,fuel,470,537.7777778
,Melting,2300,fuel,1400,1260
,Heating,300,fuel,42.5,148.8888889
33414,Melting,1000,fuel,54,537.7777778
,Drying,1000,fuel,49.5,537.7777778
,Burning,1000,fuel,115,537.7777778
,Melting,2000,fuel,195.5,1093.333333
,Melting,2400,fuel,415,1315.555556
,Refining,2050,fuel,295,1121.111111
,Melting,2050,fuel,334,1121.111111
33531,Melting,2360,fuel,2410,1293.333333
,Heating,1000,fuel,1300,537.7777778
,Annealing,800,fuel,1020,426.6666667
34621,Heating,2400,fuel,4500,1315.555556
,Forging,2400,fuel,700,1315.555556
,Heating,1600,fuel,8000,871.1111111
35231,Heating,1350,fuel,1273.6,732.2222222
,Cleaning,75,steam,290.7,23.88888889
,Drying,165,steam,873,73.88888889
,Boiler,320,fuel,2904,160
,Boiler,320,space heat,1206.4,160
,Boiler,320,steam,1163.7,160
35311,Heating,300,fuel,226.8,148.8888889
,Heating,1350,fuel,1010.8,732.2222222
,Cleaning,75,steam,235.4,23.88888889
,Drying,165,steam,705.2,73.88888889
,Boiler,320,fuel,2339,160
,Boiler,320,steam,940.6,160
,Boiler,250,space heat,978.4,121.1111111
37111,Cleaning,100,steam,582,37.77777778
,Drying,180,fuel,411,82.22222222
,Drying,300,fuel,1513,148.8888889
,Washing,90,water,151,32.22222222
,Washing,75,water,151,23.88888889
,Boiler,350,steam,582,176.6666667
,Boiler,120,water,302,48.88888889
,Boiler,350,fuel,1264,176.6666667
37141,Melting,2900,fuel,1500,1593.333333
,Heating,1000,fuel,255,537.7777778
,Drying,180,fuel,1000,82.22222222
