,boiler_heat_uom,boiler_ratio_b,facility_id,facility_name,fuel_type,mass_of_steam,mass_of_steam_uom,month,reporting_year,unit_name
0,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,87402000,pounds steam,April,2016,GP-1
1,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,48967700,pounds steam,April,2016,B Boiler
2,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,35153900,pounds steam,April,2016,A Boiler
3,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,April,2016,GP-Boilers 1 and 2
4,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,15546761.56,pounds steam,April,2016,2
5,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),23635284,pounds steam,April,2016,2
6,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,15579248,pounds steam,April,2016,1
7,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),23681792,pounds steam,April,2016,1
8,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,72118069,pounds steam,April,2016,EU 002
9,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),158889,pounds steam,April,2016,EU 002
10,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,57636396,pounds steam,April,2016,EU 001
11,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),92681,pounds steam,April,2016,EU 001
12,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,April,2016,Unit 2
13,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,April,2016,Unit 1
14,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,April,2016,Unit 3
15,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,32269000,pounds steam,April,2016,Boiler B
16,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,32396000,pounds steam,April,2016,Boiler A
17,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,63639503,pounds steam,April,2016,2
18,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,61742569,pounds steam,April,2016,1
19,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,April,2016,North Unit
20,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,April,2016,South Unit
21,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,April,2016,GP-Stack
22,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,52469760,pounds steam,April,2016,GP-Facility Stack
23,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,April,2016,GP-Combustors
24,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,April,2016,GP-01
25,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,April,2016,GP-MWC
26,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,42378363,pounds steam,April,2016,GP-Facility Stack
27,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,August,2016,GP-Boilers 1 and 2
28,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,August,2016,North Unit
29,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),22028296,pounds steam,August,2016,1
30,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,10967000,pounds steam,August,2016,Boiler B
31,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,53885600,pounds steam,August,2016,A Boiler
32,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,6000,pounds steam,August,2016,Boiler A
33,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,64709129,pounds steam,August,2016,EU 002
34,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,56546992,pounds steam,August,2016,2
35,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,17686581.22,pounds steam,August,2016,2
36,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,59176702,pounds steam,August,2016,1
37,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),61835,pounds steam,August,2016,EU 002
38,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,53388100,pounds steam,August,2016,B Boiler
39,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,August,2016,South Unit
40,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,52342933,pounds steam,August,2016,EU 001
41,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,August,2016,GP-Stack
42,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),21843685,pounds steam,August,2016,2
43,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,60444240,pounds steam,August,2016,GP-Facility Stack
44,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),57501,pounds steam,August,2016,EU 001
45,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,August,2016,GP-Combustors
46,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,43146100,pounds steam,August,2016,GP-Facility Stack
47,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,August,2016,GP-01
48,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,August,2016,Unit 2
49,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,August,2016,GP-MWC
50,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,17832896,pounds steam,August,2016,1
51,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,132625000,pounds steam,August,2016,GP-1
52,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,August,2016,Unit 1
53,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,August,2016,Unit 3
54,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,December,2016,North Unit
55,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,48495400,pounds steam,December,2016,B Boiler
56,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,December,2016,GP-MWC
57,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,December,2016,GP-01
58,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,December,2016,GP-Combustors
59,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,58786440,pounds steam,December,2016,GP-Facility Stack
60,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,December,2016,GP-Stack
61,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,December,2016,South Unit
62,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,16923390,pounds steam,December,2016,1
63,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,0.0000000001,pounds steam,December,2016,2
64,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,33568,pounds steam,December,2016,Boiler A
65,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,36810000,pounds steam,December,2016,Boiler B
66,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,December,2016,Unit 3
67,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,December,2016,Unit 1
68,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,December,2016,Unit 2
69,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),114504,pounds steam,December,2016,EU 001
70,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,70190556,pounds steam,December,2016,EU 001
71,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),124344,pounds steam,December,2016,EU 002
72,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,59834549,pounds steam,December,2016,EU 002
73,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),23282834,pounds steam,December,2016,1
74,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,14555572,pounds steam,December,2016,1
75,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),22422182,pounds steam,December,2016,2
76,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,14021309.77,pounds steam,December,2016,2
77,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,December,2016,GP-Boilers 1 and 2
78,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,40342005,pounds steam,December,2016,GP-Facility Stack
79,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,48483600,pounds steam,December,2016,A Boiler
80,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,136787100,pounds steam,December,2016,GP-1
81,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,140391300,pounds steam,February,2016,GP-1
82,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,37351770,pounds steam,February,2016,GP-Facility Stack
83,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,February,2016,GP-01
84,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,February,2016,GP-Combustors
85,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,54040056,pounds steam,February,2016,GP-Facility Stack
86,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,February,2016,GP-Stack
87,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,February,2016,South Unit
88,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,February,2016,North Unit
89,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,52976206,pounds steam,February,2016,1
90,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,53534241,pounds steam,February,2016,2
91,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,29559000,pounds steam,February,2016,Boiler A
92,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,35320000,pounds steam,February,2016,Boiler B
93,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,February,2016,Unit 3
94,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,February,2016,Unit 1
95,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,February,2016,Unit 2
96,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),175155,pounds steam,February,2016,EU 001
97,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,23856118,pounds steam,February,2016,EU 001
98,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),88082,pounds steam,February,2016,EU 002
99,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,31822640,pounds steam,February,2016,EU 002
100,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),13423197,pounds steam,February,2016,1
101,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,10625120,pounds steam,February,2016,1
102,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),21881246,pounds steam,February,2016,2
103,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,17312869.81,pounds steam,February,2016,2
104,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,February,2016,GP-Boilers 1 and 2
105,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,45016000,pounds steam,February,2016,A Boiler
106,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,43568800,pounds steam,February,2016,B Boiler
107,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,February,2016,GP-MWC
108,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,144327000,pounds steam,January,2016,GP-1
109,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,42756237,pounds steam,January,2016,GP-Facility Stack
110,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,January,2016,GP-01
111,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,January,2016,GP-Combustors
112,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,57923760,pounds steam,January,2016,GP-Facility Stack
113,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,January,2016,GP-Stack
114,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,January,2016,South Unit
115,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,January,2016,North Unit
116,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,10169603,pounds steam,January,2016,1
117,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,25873987,pounds steam,January,2016,2
118,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,39393000,pounds steam,January,2016,Boiler A
119,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,37323000,pounds steam,January,2016,Boiler B
120,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,January,2016,Unit 3
121,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,January,2016,Unit 1
122,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,January,2016,Unit 2
123,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),66160,pounds steam,January,2016,EU 001
124,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,65736496,pounds steam,January,2016,EU 001
125,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),61765,pounds steam,January,2016,EU 002
126,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,67035153,pounds steam,January,2016,EU 002
127,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),14266981,pounds steam,January,2016,1
128,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,10779011.4,pounds steam,January,2016,1
129,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),22170674,pounds steam,January,2016,2
130,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,16758867.28,pounds steam,January,2016,2
131,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,January,2016,GP-Boilers 1 and 2
132,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,46317300,pounds steam,January,2016,A Boiler
133,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,51473100,pounds steam,January,2016,B Boiler
134,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,January,2016,GP-MWC
135,mmBtu/pounds steam,0.001324,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,15375758.3,pounds steam,July,2016,North Unit
136,mmBtu/pounds steam,0.001724378,1003200,Covanta Stanislaus Inc.,Municipal Solid Waste,146079200,pounds steam,July,2016,GP-1
137,mmBtu/pounds steam,0.00136,1000047,PENOBSCOT ENERGY RECOVERY CO.,Municipal Solid Waste,152849889,pounds steam,July,2016,GP-MWC
138,mmBtu/pounds steam,0.001558448,1005528,OLMSTED WASTE-TO-ENERGY FACILITY,Municipal Solid Waste,65402917,pounds steam,July,2016,GP-01
139,mmBtu/pounds steam,0.001665,1005172,"COVANTA BRISTOL, INC",Municipal Solid Waste,104675083.3,pounds steam,July,2016,GP-Combustors
140,mmBtu/pounds steam,0.001607717,1004865,COVANTA SPRINGFIELD LLC,Municipal Solid Waste,57251160,pounds steam,July,2016,GP-Facility Stack
141,mmBtu/pounds steam,0.00176,1001869,COVANTA WARREN ENERGY RESOURCE CO,Municipal Solid Waste,82806250,pounds steam,July,2016,GP-Stack
142,mmBtu/pounds steam,0.001309,1006340,PERHAM RESOURCE RECOVERY FACILITY,Municipal Solid Waste,12283350.7,pounds steam,July,2016,South Unit
143,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,62590600,pounds steam,July,2016,1
144,mmBtu/pounds steam,0.00159027,1003410,Key City/Wilmarth Plant,Municipal Solid Waste,67110598,pounds steam,July,2016,2
145,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,33564000,pounds steam,July,2016,Boiler A
146,mmBtu/pounds steam,0.00122,1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,Municipal Solid Waste,22541000,pounds steam,July,2016,Boiler B
147,mmBtu/pounds steam,0.0012026,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,21468473.7,pounds steam,July,2016,Unit 3
148,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,9802784.6,pounds steam,July,2016,Unit 1
149,mmBtu/pounds steam,0.001389,1004475,POPE/DOUGLAS SOLID WASTE MANAGEMENT,Municipal Solid Waste,10356301.4,pounds steam,July,2016,Unit 2
150,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),91084,pounds steam,July,2016,EU 001
151,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,52018321,pounds steam,July,2016,EU 001
152,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Wood and Wood Residuals (dry basis),73482,pounds steam,July,2016,EU 002
153,mmBtu/pounds steam,0.00160681,1006774,Red Wing Plant,Municipal Solid Waste,62701210,pounds steam,July,2016,EU 002
154,mmBtu/pounds steam,0.00164,1000219,French Island,Wood and Wood Residuals (dry basis),20236364,pounds steam,July,2016,1
155,mmBtu/pounds steam,0.00164,1000219,French Island,Municipal Solid Waste,16705005,pounds steam,July,2016,1
156,mmBtu/pounds steam,0.00166333,1000219,French Island,Wood and Wood Residuals (dry basis),17468695,pounds steam,July,2016,2
157,mmBtu/pounds steam,0.00166333,1000219,French Island,Municipal Solid Waste,14417172.04,pounds steam,July,2016,2
158,mmBtu/pounds steam,0.001729,1002744,SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,Municipal Solid Waste,129999166,pounds steam,July,2016,GP-Boilers 1 and 2
159,mmBtu/pounds steam,0.001470773,1004797,COVANTA PITTSFIELD LLC,Municipal Solid Waste,41186325,pounds steam,July,2016,GP-Facility Stack
160,mmBtu/pounds steam,0.00130456,1005673,REGIONAL WASTE SYSTEMS INCORPORATED,Municipal Solid Waste,50674700,pounds steam,July,2016,A Boiler
