SIC,day_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20,weekday,0.685,0.68,0.675,0.67,0.7,0.75,0.81,0.9,0.95,0.96,0.975,0.975,0.975,1,0.975,0.95,0.9,0.88,0.87,0.85,0.85,0.84,0.83,0.8
20,saturday,0.61,0.6,0.58,0.57,0.56,0.56,0.575,0.6,0.605,0.605,0.605,0.605,0.605,0.605,0.595,0.57,0.55,0.54,0.53,0.525,0.52,0.515,0.51,0.495
20,sunday,0.54,0.52,0.551,0.51,0.5,0.495,0.49,0.49,0.485,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.495,0.505,0.54,0.56
22,weekday,0.641,0.641,0.641,0.641,0.641,0.68,0.72,0.84,0.95,0.98,0.99,0.98,0.97,1,0.96,0.92,0.88,0.84,0.83,0.82,0.82,0.8,0.76,0.68
22,saturday,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.275,0.27,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.205,0.19
22,sunday,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.2,0.24,0.29
23,weekday,0.51,0.5,0.49,0.48,0.5,0.56,0.74,0.88,0.92,0.95,0.96,0.96,0.97,0.98,0.97,0.91,0.8,0.71,0.66,0.64,0.62,0.62,0.6,0.58
23,saturday,0.32,0.3,0.28,0.25,0.25,0.28,0.35,0.4,0.42,0.43,0.42,0.41,0.4,0.39,0.37,0.32,0.31,0.28,0.28,0.27,0.27,0.27,0.24,0.21
23,sunday,0.19,0.19,0.18,0.17,0.17,0.17,0.22,0.24,0.245,0.25,0.25,0.23,0.21,0.21,0.21,0.195,0.17,0.17,0.17,0.17,0.2,0.27,0.275,0.325
25,weekday,0.3,0.28,0.25,0.24,0.25,0.32,0.6,0.84,0.97,0.97,0.97,0.92,0.91,0.98,0.96,0.82,0.59,0.46,0.43,0.42,0.41,0.4,0.38,0.365
25,saturday,0.245,0.22,0.2,0.195,0.21,0.3,0.44,0.62,0.7,0.72,0.7,0.63,0.61,0.64,0.62,0.51,0.4,0.24,0.22,0.21,0.21,0.21,0.2,0.19
25,sunday,0.16,0.155,0.16,0.155,0.155,0.16,0.17,0.19,0.2,0.2,0.2,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.19
26,weekday,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.96
26,saturday,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59
26,sunday,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.58,0.6
27,weekday,0.71,0.71,0.68,0.64,0.61,0.61,0.68,0.8,0.87,0.92,0.94,0.94,0.96,1,0.96,0.88,0.86,0.82,0.8,0.8,0.81,0.81,0.8,0.79
27,saturday,0.6,0.6,0.58,0.56,0.52,0.51,0.52,0.56,0.58,0.62,0.63,0.63,0.61,0.64,0.61,0.59,0.56,0.54,0.54,0.54,0.58,0.57,0.57,0.57
27,sunday,0.57,0.61,0.61,0.56,0.49,0.45,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.45,0.47,0.47,0.48,0.49
28,weekday,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96
28,saturday,0.78,0.78,0.78,0.78,0.77,0.77,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76
28,sunday,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76
281,weekday,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96
281,saturday,0.71,0.71,0.71,0.71,0.71,0.7,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.65,0.64,0.65,0.66,0.66,0.66,0.66
281,sunday,0.64,0.64,0.64,0.66,0.64,0.64,0.64,0.64,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.64,0.64,0.64,0.64,0.64,0.64
2821,weekday,1,1,1,1,1,1,0.99,0.98,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.99,1,1,1,1,1
2821,saturday,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2821,sunday,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2831,weekday,0.84,0.82,0.81,0.8,0.8,0.8,0.81,0.84,0.88,0.94,0.96,0.98,0.99,1,1,0.97,0.96,0.93,0.92,0.91,0.9,0.89,0.88,0.87
2831,saturday,0.8,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.79,0.8,0.81,0.82,0.82,0.82,0.82,0.81,0.81,0.79,0.79,0.79,0.78,0.77,0.77,0.77
2831,sunday,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77
286,weekday,0.91,0.91,0.91,0.92,0.92,0.9,0.88,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.94,0.92,0.91,0.9,0.91,0.91,0.92,0.92,0.91
286,saturday,0.92,0.91,0.91,0.92,0.93,0.94,0.92,0.92,0.9,0.91,0.92,0.92,0.88,0.89,0.91,0.92,0.93,0.92,0.89,0.92,0.92,0.92,0.92,0.93
286,sunday,0.91,0.92,1,0.94,0.92,0.91,0.9,0.88,0.85,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.91,0.9,0.91,0.91,0.91,0.92,0.93
29,weekday,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96
29,saturday,0.65,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65
29,sunday,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65
30,weekday,0.85,0.85,0.84,0.86,0.87,0.91,0.96,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.96,0.96,0.95,0.94,0.93,0.93,0.92,0.9,0.89
30,saturday,0.63,0.63,0.62,0.615,0.61,0.605,0.6,0.59,0.58,0.58,0.58,0.58,0.58,0.57,0.56,0.55,0.54,0.53,0.53,0.53,0.53,0.52,0.5,0.47
30,sunday,0.42,0.42,0.42,0.415,0.41,0.405,0.4,0.4,0.39,0.385,0.38,0.375,0.37,0.365,0.36,0.36,0.36,0.36,0.36,0.38,0.39,0.41,0.44,0.49
307,weekday,0.8,0.8,0.8,0.8,0.8,0.82,0.88,0.95,0.96,0.98,0.99,1,0.97,1,0.99,0.98,0.96,0.94,0.92,0.91,0.905,0.905,0.9,0.9
307,saturday,0.5,0.48,0.48,0.48,0.48,0.48,0.47,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.31
307,sunday,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.27,0.28,0.36,0.42
31,weekday,0.46,0.45,0.455,0.455,0.46,0.6,0.82,0.97,0.99,0.98,1,0.99,0.96,0.96,0.94,0.78,0.66,0.58,0.55,0.55,0.52,0.51,0.51,0.49
31,saturday,0.41,0.37,0.35,0.345,0.35,0.37,0.48,0.53,0.54,0.53,0.52,0.46,0.41,0.4,0.36,0.28,0.245,0.23,0.222,0.22,0.219,0.215,0.21,0.2
31,sunday,0.2,0.195,0.21,0.195,0.195,0.195,0.195,0.195,0.195,0.2,0.205,0.205,0.21,0.219,0.21,0.21,0.219,0.21,0.21,0.22,0.22,0.225,0.245,0.32
32,weekday,0.91,0.91,0.91,0.91,0.91,0.91,0.93,0.945,0.965,0.965,0.97,0.97,0.965,0.975,0.965,0.95,0.94,0.945,0.94,0.94,0.94,0.94,0.95,0.945
32,saturday,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.6,0.59,0.59,0.6,0.59,0.59,0.59,0.58,0.58,0.575,0.57,0.57,0.57,0.57,0.57,0.56,0.55
32,sunday,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.54,0.55
324,weekday,0.87,0.85,0.86,0.875,0.87,0.86,0.86,0.83,0.83,0.81,0.78,0.775,0.77,0.775,0.79,0.8,0.8,0.84,0.85,0.87,0.88,0.885,0.87,0.87
324,saturday,0.87,0.92,0.925,0.895,0.9,0.94,0.96,0.97,0.98,0.97,1,0.98,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.955,0.89,0.85
324,sunday,0.805,0.795,0.8,0.76,0.76,0.8,0.798,0.81,0.82,0.82,0.835,0.825,0.82,0.855,0.88,0.88,0.88,0.88,0.84,0.9,0.91,0.9,0.925,0.93
327,weekday,0.865,0.86,0.86,0.865,0.87,0.89,0.93,0.98,0.99,1,0.99,0.98,0.96,0.975,0.97,0.95,0.91,0.89,0.88,0.88,0.88,0.885,0.89,0.88
327,saturday,0.175,0.175,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.175,0.175,0.175,0.17,0.17,0.17,0.17,0.17,0.17,0.17
327,sunday,0.17,0.17,0.165,0.175,0.175,0.17,0.165,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
33,weekday,0.82,0.815,0.82,0.83,0.845,0.86,0.89,0.93,0.95,0.955,0.95,0.945,0.96,0.965,0.95,0.93,0.92,0.91,0.9,0.91,0.915,0.915,0.89,0.87
33,saturday,0.64,0.63,0.62,0.61,0.62,0.63,0.64,0.645,0.645,0.625,0.62,0.63,0.64,0.64,0.615,0.61,0.6,0.58,0.57,0.57,0.58,0.57,0.55,0.52
33,sunday,0.465,0.465,0.47,0.465,0.47,0.46,0.46,0.44,0.435,0.43,0.445,0.445,0.445,0.46,0.465,0.44,0.44,0.44,0.45,0.45,0.46,0.48,0.5,0.52
331,weekday,0.89,0.85,0.84,0.87,0.885,0.91,0.89,0.89,0.96,0.93,0.93,0.91,0.93,0.93,0.955,0.945,0.95,0.95,0.92,0.9,0.93,0.93,0.9,0.9
331,saturday,0.64,0.67,0.67,0.62,0.68,0.68,0.67,0.69,0.65,0.6,0.64,0.655,0.68,0.55,0.56,0.545,0.55,0.49,0.44,0.44,0.46,0.44,0.43,0.41
331,sunday,0.4,0.4,0.405,0.415,0.42,0.4,0.4,0.38,0.38,0.38,0.395,0.395,0.405,0.42,0.435,0.41,0.405,0.4,0.41,0.4,0.415,0.44,0.49,0.62
332,weekday,0.81,0.79,0.79,0.795,0.83,0.88,0.95,0.97,0.99,0.98,0.99,0.98,0.99,0.99,0.97,0.93,0.915,0.89,0.87,0.875,0.87,0.87,0.845,0.83
332,saturday,0.4,0.37,0.345,0.33,0.335,0.34,0.34,0.33,0.325,0.305,0.295,0.29,0.29,0.29,0.275,0.265,0.265,0.265,0.26,0.26,0.26,0.26,0.255,0.25
332,sunday,0.225,0.2,0.225,0.215,0.21,0.21,0.21,0.205,0.2,0.2,0.2,0.205,0.205,0.21,0.205,0.21,0.22,0.22,0.225,0.23,0.24,0.26,0.305,0.36
339,weekday,0.65,0.64,0.64,0.655,0.685,0.72,0.78,0.87,0.955,0.945,0.995,0.955,0.965,0.95,0.87,0.78,0.76,0.715,0.705,0.675,0.685,0.67,0.67,0.63
339,saturday,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.195,0.195,0.195,0.2,0.2,0.195,0.195,0.19,0.18,0.18,0.18,0.185,0.18,0.18,0.18,0.18,0.18
339,sunday,0.18,0.18,0.18,0.175,0.175,0.18,0.18,0.18,0.18,0.18,0.185,0.185,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
